Province,Cars,Light Vehicles,Trucks,Buses,Total
BUENOS AIRES,4332229,915321,219442,31116,5498108
CAPITAL FEDERAL,1277688,254902,74202,12872,1619664
SANTA FE,890060,218198,67027,4682,1179967
CORDOBA,1023480,262243,66564,5370,1357657
MENDOZA,519972,147946,35441,3799,707158
ENTRE RIOS,335522,97542,25371,2398,460833
CORRIENTES,163560,54137,18083,1548,237328
MISIONES,167810,54441,17617,1975,241884
TUCUMAN,223462,57942,17381,1398,301018
CHUBUT,180761,67273,14780,2233,264942
CHACO,132695,51064,14665,966,199390
NEUQUEN,176186,67208,14237,2612,260243
SALTA,165487,55645,13766,1462,236360
JUJUY,96041,35755,11742,2016,145554
RIO NEGRO,189678,60063,11446,2128,263315
SAN JUAN,149904,40794,10024,1042,201764
SANTIAGO DEL ESTERO,93878,33603,8975,909,137365
LA PAMPA,103311,39001,8240,799,151351
SANTA CRUZ,114068,36681,8091,1833,160673
SAN LUIS,117140,31876,6771,679,156466
FORMOSA,56146,20985,4537,543,82211
CATAMARCA,62881,18600,3821,513,85815
LA RIOJA,61151,16514,3761,600,82026
TIERRA DEL FUEGO,56775,16913,3621,1274,78583
Total general,10689885,2654647,679605,84767,14108904
